year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,2833.0,12.988700699999999,,True,vehicles
2000,8,0.0,3665.625,11.62558226375,5.71056798125,True,vehicles
2001,25,2.04,7279.12,11.686670092,9.169731572,True,vehicles
2002,30,3.033333333333333,6822.366666666667,11.84357284,9.238927243333332,True,vehicles
2003,36,4.027777777777778,6800.666666666667,11.297528683333333,6.360324277777779,True,vehicles
2004,50,3.06,7819.94,12.479513054000002,8.394508243999999,True,vehicles
2005,61,3.2295081967213113,7574.393442622951,11.804936398360654,9.28014061967213,True,vehicles
2006,73,3.493150684931507,7866.328767123287,12.42444478630137,9.832339920547946,True,vehicles
2007,80,3.0375,7510.8375,12.139750257500001,9.4602706475,True,vehicles
2008,86,2.36046511627907,6476.511627906977,12.261908604651163,8.04233116511628,True,vehicles
2009,78,1.7820512820512822,6518.025641025641,12.585844583333333,9.527927425641026,True,vehicles
2010,116,1.793103448275862,6594.551724137931,12.245474862068965,8.510658445689655,True,vehicles
2011,145,1.4689655172413794,6428.944827586207,12.125028144827585,8.665124931034484,True,vehicles
2012,182,1.554945054945055,6389.824175824176,11.907342956043957,7.622692302197803,True,vehicles
2013,205,1.4195121951219511,6750.239024390244,12.098315,7.54255348292683,True,vehicles
2014,215,1.2325581395348837,7405.8883720930235,12.572426446511626,7.567712953488372,True,vehicles
2015,230,1.4695652173913043,7387.082608695652,12.389355643478261,7.665353608695653,True,vehicles
2016,244,1.7663934426229508,7256.918032786885,12.321620200819671,7.165485073770491,True,vehicles
2017,233,2.0343347639484977,7428.532188841202,12.189376283261801,7.192543673819742,True,vehicles
2018,200,2.82,10902.725,12.365699585,9.026837835000002,True,vehicles
2019,184,3.5706521739130435,13708.20652173913,12.877884516304348,10.488150369565217,True,vehicles
