year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,1,8.0,1636.0,15.17312281,0.0,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
1998,5,4.2,2688.4,12.530600776,2.92042,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
1999,37,3.8378378378378377,4563.027027027027,12.605034710810811,6.552266393243244,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2000,199,5.899497487437186,6003.402010050251,11.98771678246231,8.851677399296483,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2001,364,4.84065934065934,6609.788461538462,12.086652709175821,9.033869402060441,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2002,452,5.183628318584071,6429.45796460177,12.010991767477877,9.008554522123893,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2003,479,5.3528183716075155,6362.686847599165,11.763375508705634,8.48450217039666,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2004,613,5.35236541598695,6601.011419249592,11.740077944499186,9.011980514208808,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2005,663,4.529411764705882,6489.853695324284,11.74034493453997,8.726265300015081,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2006,892,4.260089686098655,6462.982062780269,11.856640447623318,8.879004526614349,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2007,1113,4.45193171608266,7205.825696316262,12.065202977735852,9.122079523126683,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
2008,1228,4.17915309446254,7205.416123778502,12.035093957052117,8.970571777744297,False,blogsandpersonal;business;education;entertainment - blogsandpersonal;education;entertainment - business;education;entertainment - business;education;entertainment;shopping - economyandfinance;education;entertainment - education;entertainment - education;entertainment;foodandrecipes - education;entertainment;games - education;entertainment;games;shopping - education;entertainment;health - education;entertainment;informationtech - education;entertainment;mediasharing - education;entertainment;messageboardsandforums - education;entertainment;newsandmedia - education;entertainment;religion - education;entertainment;shopping - education;entertainment;sports - education;entertainment;streamingmedia - education;entertainment;travel - education;entertainment;weapons - 
