year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,12.0,8428.0,14.60901906,17.00531249,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2000,2,6.0,7118.0,10.575865765,6.19974339,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2002,2,0.0,9100.0,13.37323865,15.11225768,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2003,11,8.545454545454545,8401.727272727272,11.04142129090909,11.07796479090909,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2004,10,9.2,10320.1,10.165227040000001,9.264719794,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2005,14,6.642857142857143,8891.785714285714,12.005377271428573,9.789173364285714,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2006,16,5.5,6782.375,10.7815038625,7.288736706249999,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2007,15,4.133333333333334,6234.733333333334,11.731878046666667,7.87363722,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2008,23,3.5652173913043477,6723.434782608696,12.281144713043478,9.070908612173913,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2009,20,3.65,7148.1,13.0860605805,10.354573031,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2010,43,1.4883720930232558,5468.232558139535,10.788239295813954,7.026226766279069,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2011,44,2.0454545454545454,8987.022727272728,11.943044024318182,9.0881723425,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2012,43,2.511627906976744,7856.023255813953,12.386452260232558,9.854972647209301,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2013,46,2.608695652173913,7452.282608695652,12.608099723913043,9.36285417826087,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2014,40,2.575,8594.175,12.929979523999998,9.09998561475,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2015,31,2.870967741935484,11794.41935483871,13.64934177967742,11.429636203870968,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2016,26,2.730769230769231,12818.038461538461,13.71606307692308,10.818715894999999,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2017,17,2.4705882352941178,15966.470588235294,13.973034951764706,11.587187224705882,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2018,19,1.6842105263157894,13675.736842105263,12.280643841052632,10.598808703684211,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
2019,22,3.8636363636363638,24731.31818181818,13.214668549999999,12.48653142909091,False,contentserver - contentserver;economyandfinance - contentserver;informationtech - contentserver;newsandmedia - contentserver;streamingmedia - 
