year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,2,0.0,1628.0,14.37712863,0.0,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2003,3,0.0,4216.666666666667,12.841065843333332,6.18803016,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2004,11,5.0,6576.363636363636,11.500361443454544,9.96630503909091,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2005,15,6.266666666666667,6349.733333333334,10.056905818666667,6.185560707333334,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2006,22,5.954545454545454,5246.636363636364,11.35457565590909,5.4073460904545465,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2007,23,2.608695652173913,5308.913043478261,13.40908829521739,7.0906892260869565,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2008,35,2.2285714285714286,6082.885714285714,12.839563024857142,7.617575050285715,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2009,46,1.6956521739130435,5145.847826086957,12.68056815347826,6.671064457608696,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2010,115,1.7043478260869565,5012.843478260869,12.601099619130435,5.694143134086956,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
2011,135,1.7185185185185186,4841.414814814815,12.178993449777778,5.758753551111111,False,blogsandpersonal;business - blogsandpersonal;business;economyandfinance - blogsandpersonal;business;education - blogsandpersonal;business;education;entertainment - blogsandpersonal;business;entertainment - blogsandpersonal;business;foodandrecipes - blogsandpersonal;business;informationtech - blogsandpersonal;business;newsandmedia - blogsandpersonal;business;shopping - blogsandpersonal;business;socialnetworking - 
